name,league,rank,prev_rank,off,def,spi
Maccabi Tel-Aviv,UEFA Europa League,199,200,1.3,1.2,46.9
Belgrano Cordoba,Argentina Primera Division,200,201,1.2,1.1,46.9
1. FC Nürnberg,German 2. Bundesliga,201,203,1.4,1.3,46.8
Cordoba,Spanish Segunda Division,202,204,1.5,1.4,46.8
Brentford,English League Championship,203,205,1.3,1.3,46.8
Cadiz,Spanish Segunda Division,204,206,1.0,0.9,46.7
Argentinos Juniors,Argentina Primera Division,205,207,1.1,1.1,46.7
IFK Norrkoping,Swedish Allsvenskan,206,197,1.5,1.4,46.7
Estudiantes,Argentina Primera Division,207,209,1.0,1.0,46.7
Troyes,French Ligue 1,208,210,1.2,1.2,46.6
Alanyaspor,Turkish Turkcell Super Lig,209,211,1.6,1.6,46.4
Santos Laguna,Mexican Primera Division Torneo Apertura,210,185,1.4,1.4,46.3
Toluca,Mexican Primera Division Torneo Apertura,211,208,1.3,1.3,46.2
Rayo Vallecano,Spanish Segunda Division,212,212,1.4,1.4,45.9
Atlanta United FC,Major League Soccer,213,218,1.5,1.5,45.9
Le Havre,French Ligue 2,214,213,1.1,1.1,45.6
FC Ingolstadt 04,German 2. Bundesliga,215,214,1.4,1.4,45.3
Botafogo,Brasileiro Série A,216,202,1.2,1.2,45.3
Banfield,Argentina Primera Division,217,217,1.0,1.0,44.9
Chapecoense AF,Brasileiro Série A,218,226,1.1,1.1,44.8
Middlesbrough,English League Championship,219,219,1.2,1.2,44.8
Rio Ave,Portuguese Liga,220,220,1.1,1.1,44.8
Numancia,Spanish Segunda Division,221,221,1.1,1.1,44.8
Guimaraes,Portuguese Liga,222,223,1.3,1.3,44.6
Rangers,Scottish Premiership,223,224,1.7,1.8,44.4
FC Zorya Luhansk,UEFA Europa League,224,225,1.2,1.2,44.4
Tenerife,Spanish Segunda Division,225,227,1.3,1.4,44.2
SV Zulte Waregem,UEFA Europa League,226,229,1.5,1.6,44.1
BK Hacken,Swedish Allsvenskan,227,215,1.3,1.3,44.1
1. FC Union Berlin,German 2. Bundesliga,228,230,1.3,1.4,44.1
Tigre,Argentina Primera Division,229,231,1.2,1.2,44.0
FC Utrecht,Dutch Eredivisie,230,232,1.6,1.7,43.9
